block_id,drug_row,drug_col,conc_r,conc_C,response,conc_r_unit,conc_c_unit,cell
1,752,3088,1000.0,1000.0,71.268,nM,nM,786-0
1,752,3088,1000.0,10000.0,89.27799999999999,nM,nM,786-0
1,752,3088,10000.0,1000.0,22.288,nM,nM,786-0
1,752,3088,10000.0,10000.0,35.096,nM,nM,786-0
1,752,3088,1000.0,0.0,82.18655555555557,nM,nM,786-0
1,752,3088,10000.0,0.0,33.272666666666666,nM,nM,786-0
1,752,3088,0.0,1000.0,95.76626829268295,nM,nM,786-0
1,752,3088,0.0,10000.0,82.1296097560976,nM,nM,786-0
2,752,8806,100.0,100.0,89.484,nM,nM,786-0
2,752,8806,100.0,1000.0,101.11200000000001,nM,nM,786-0
2,752,8806,100.0,10000.0,43.405,nM,nM,786-0
2,752,8806,1000.0,100.0,61.621,nM,nM,786-0
2,752,8806,1000.0,1000.0,91.28399999999999,nM,nM,786-0
2,752,8806,1000.0,10000.0,42.113,nM,nM,786-0
2,752,8806,10000.0,100.0,23.289,nM,nM,786-0
2,752,8806,10000.0,1000.0,38.437,nM,nM,786-0
2,752,8806,10000.0,10000.0,21.486,nM,nM,786-0
2,752,8806,100.0,0.0,93.91844444444445,nM,nM,786-0
2,752,8806,1000.0,0.0,82.18655555555557,nM,nM,786-0
2,752,8806,10000.0,0.0,33.272666666666666,nM,nM,786-0
2,752,8806,0.0,100.0,102.4834,nM,nM,786-0
2,752,8806,0.0,1000.0,103.80940000000001,nM,nM,786-0
2,752,8806,0.0,10000.0,58.40749999999999,nM,nM,786-0