0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,cell
1.6961651,-2.8696458,-0.39294016,-0.67058474,1.9980135,-0.048206717,-1.4527999,-1.1581037,-1.9553081,-0.059511527,-1.3957882,-0.9807455,1.2991105,-0.28203967,1.6351895,-0.43872368,-0.36959615,1.1760879,-0.17266709,-2.2635162,-0.78598917,-0.035890136,0.38118425,-0.1999198,1.4859895,1.4585121,1.9341396,0.6416006,-1.1173487,-0.06758814,-1.2166892,-0.7123435,-2.2456138,0.17259936,-0.7860238,-1.523499,-0.54317814,-1.2749592,-0.7267592,0.9921116,-0.5039364,-1.1325912,-1.6271983,1.9208357,0.46553302,-1.1842322,-1.3203666,0.79435086,-1.0734978,0.28357664,-1.7031305,-0.17690095,0.5029947,0.91059756,2.3236146,0.63633627,-0.76831037,1.7731774,-0.85581994,0.2904696,1.2907205,-0.81394565,-1.1436261,0.45777756,2.0132327,-0.95957756,0.7559276,-1.3627129,-0.83785254,-1.2954541,1.8456911,1.5190521,0.15105605,-1.0330834,-2.1670141,-0.72752,-1.4444093,1.900021,1.3777779,0.8375124,-1.0006464,0.6642546,0.8577591,0.45437372,0.84875077,0.06547848,-2.0667255,2.61853,0.91713953,0.30626643,-1.3692588,-1.556216,-0.28987396,-1.4058214,-1.864404,-1.9237545,-0.6407646,0.04816519,-1.5034993,0.90025914,0.8625662,-1.0182941,-0.007910568,0.71904933,-1.6385347,-1.053735,1.3304019,-0.13562462,-1.4130231,-1.2463527,-0.2217401,-2.4627135,CAKI-1
0.37072688,1.6663702,-0.23644891,2.133416,2.5728698,-0.0032111118,1.4892983,-1.6385595,-0.3874235,2.224116,0.1867307,-0.7565338,1.5229268,-2.0127647,0.3809265,-0.6783829,-0.41344896,0.24414226,0.5584377,-1.1362991,-0.82358205,0.66498005,2.102304,0.688163,0.84353113,-0.72607684,-0.3097274,-0.2587538,-0.033456378,-1.5310133,1.1881384,-1.6609415,0.17812116,1.3134568,-0.38414702,-0.55394435,0.93105066,-0.65411776,-1.1717939,1.1486692,0.23218282,1.9946471,-0.56102353,-1.3531015,0.141872,-2.6690946,-1.3087478,1.8177623,-0.29342085,0.68960935,0.7362545,0.44059405,0.7156421,-1.5269756,0.424841,-0.5347159,0.96228504,-0.5152751,-1.0289849,0.051718287,0.43019113,1.1786411,-0.28669855,-1.1668375,0.8602413,-0.11386563,1.2364362,0.65598065,-0.19176976,1.5662533,-0.6467966,-0.4084171,0.32272542,-1.172496,-1.7334788,-0.9801214,0.6902539,-0.7708072,1.90318,-1.0306937,-0.74039257,1.6313984,-0.9253661,-1.2393041,0.3999825,-0.5100462,0.9619147,0.9664034,2.291257,-1.1693592,-0.059257347,-1.5249066,-1.4173356,-0.5264257,-1.0020896,-1.5535887,-0.7677245,-2.610945,-1.72342,-0.09245451,-1.9924769,-1.1568348,-2.000056,1.1234354,-1.2692815,-0.5120242,0.3773837,-0.43476534,-1.4057026,-1.5872777,-0.7889023,-1.2329259,NCI-H226
-0.21371962,2.1017892,0.34719354,0.99809355,-0.39651877,3.6953976,2.5724683,1.0966765,0.4451059,2.4165196,-0.6218238,-1.4018105,-2.1913667,-1.2427417,0.23522797,-1.6188711,1.520252,-0.5920898,0.47872412,-1.4665837,0.18954745,0.6105537,0.8031704,-0.23193929,2.7862859,0.6444509,0.20400111,-1.2256963,-0.70478797,-0.6086047,2.5130541,-1.9245275,-0.87490535,-1.389289,-0.8381953,-0.2851625,0.0746823,0.56334955,-1.9149851,-0.3230758,0.014760969,2.1718001,2.979333,-0.23599398,0.97855127,-0.32553852,0.9220915,2.414858,1.7177037,-2.142058,-2.479923,2.535013,1.2762213,0.68959177,2.125444,0.7576169,-0.8411134,0.037819706,1.5849577,-0.8829316,1.0500152,0.7434029,0.40199405,-1.4649016,1.3235353,-0.049245298,-1.3625785,0.39000437,-1.0934471,0.46043316,2.4573047,-2.0063987,1.7117412,0.2910972,-0.3490641,-0.5148672,-0.09060233,-1.6169987,0.9255001,-0.5673858,1.7709785,-1.5950613,-0.06381344,-1.6933477,1.0234777,1.3985851,1.250205,0.46387133,-0.13684355,-1.4001601,-0.33318275,-1.0143186,-1.3258094,-0.58799636,-2.401826,2.2139816,-0.105215415,-1.1502509,-1.1334251,-0.93243724,-0.1427266,-0.6075978,-0.33349946,-1.8154455,0.18303643,0.9998904,-0.20520282,0.32198444,-1.3578311,0.029936286,-0.70557696,-2.1540482,NCI-H322M
0.02335946,1.8988189,0.40920463,1.2135237,1.8239002,-0.10687662,1.745756,0.69352776,-2.944059,-1.7699589,-0.695012,1.6890452,1.0285498,1.5191058,-0.95888937,1.877389,0.8397263,-1.080196,-1.0938615,-0.11677761,1.5036848,0.2533416,0.58668476,0.706512,-0.52600724,0.75947607,-0.44276914,-0.14793102,1.701044,0.13193993,-0.6469215,-2.9832015,0.9439256,-1.659845,-1.9766892,0.016762724,3.1902041,1.3222669,-4.3981495,-1.2719886,3.1164918,0.10623494,1.4544383,-1.9501505,-0.27643204,-0.26313558,-2.107565,0.5803733,-0.7616927,-0.68139565,-0.6903204,-0.061993357,2.8899312,1.2137399,0.23464589,2.0842638,1.6090289,0.45390248,-1.5123904,-1.3731599,1.4853342,2.7379534,-2.4583623,-1.1057144,0.98409694,-0.1041159,0.6516636,-0.9397384,-1.3834845,0.88700753,-1.5316525,-1.4180598,-0.12216126,2.397989,1.3383371,-1.1117901,-0.9641681,1.5676357,0.24164148,2.3919632,-0.53723234,0.35562164,0.95803076,-0.5823975,2.3297577,3.6297708,0.55745345,-0.44328785,3.1030326,-0.1963145,-1.2732878,-0.22243047,-1.3446544,-4.809714,-2.2254505,-0.5983822,0.30658227,-1.8204622,-0.5960675,-1.0866828,-0.7245519,-0.41246006,-0.024446324,-0.38506627,0.036764514,1.6728514,0.08503227,-0.99599,-3.525777,-1.4503667,0.4668721,-1.7133033,T-47D
0.97112775,2.352186,2.7999191,-1.9310342,-0.42721352,2.7934368,0.5279359,0.17226724,-1.2650603,-0.6865498,0.326243,-1.0279496,1.9895593,0.28358254,0.94168204,-0.245659,-0.47098947,2.1353579,-0.025191637,0.9266018,-0.49759388,-0.07731824,-0.15851915,0.31334582,-0.31005985,1.4402294,0.6725818,-0.6488713,1.0155358,0.071935564,-1.078394,2.2379498,-0.19212034,1.0256985,1.2102642,1.7918733,2.2654183,0.94801104,-3.0713909,-0.45530644,-0.93342435,3.0211077,-0.55050874,0.20428059,-0.4195548,-0.79798657,-2.1772113,-2.7242723,4.2223377,0.90759116,0.2485813,-0.96686447,0.3240145,-3.0067,1.5040854,-0.14183484,-0.91675216,0.68045986,0.39598268,-1.6571413,-1.1451164,0.20432371,-0.08994033,-2.0189283,1.2182091,-0.447676,0.43729028,0.27425227,-0.4671989,0.34301907,-0.010416332,-3.2344394,2.176617,-0.13716322,0.5714604,1.5386945,1.1471426,2.3998764,1.6677701,2.5536911,-0.9809123,3.470226,1.6786255,-1.4378145,0.5381235,0.27207723,-0.24571206,-0.004146635,1.6535946,-2.3842206,-0.5349258,-1.2261276,-0.03218338,-0.48813358,1.5152199,-0.4207178,-0.35595894,-1.4071633,0.6614643,0.033478197,-0.5997946,-2.0480943,-1.8646356,-2.2738419,0.9890328,1.7772485,0.8564634,0.07848039,-0.9232348,1.6342862,-1.3610848,0.72963506,SK-MEL-28
-0.48915452,-0.2606045,0.44740406,0.35964552,-1.4922878,0.2892587,0.44835967,0.072094455,-0.21954745,0.31537393,2.382715,0.25077116,1.2900469,2.3524766,0.3187986,1.4579924,-0.30269632,-0.63162416,-1.8067621,0.66181004,1.5343251,1.4297639,0.11944433,1.9336191,0.7452669,-0.62517387,-0.06827923,0.35455137,-0.30219296,1.5564611,-1.4760559,-1.7010368,-0.5716031,2.0144322,0.3566561,-0.28030235,-0.31637818,-1.4282475,0.43494296,-1.1527936,-1.2967341,1.9497123,-2.4856443,0.25618258,-0.94234496,-0.46221122,-1.585588,-1.0002885,-1.0967185,-1.2791883,-0.029048024,-0.835777,0.46101472,0.08626551,0.472841,0.8468102,-1.4960012,0.72695076,0.08984958,-2.1961596,1.3975176,-1.0066303,0.058708224,-1.5516346,-1.8550514,-3.004719,2.3800437,-0.45509455,0.27649534,-0.6558553,-0.32165805,-0.62039053,-1.9866048,-0.4822566,-2.9070344,1.4597255,-2.1851265,0.29202294,-0.16716278,-0.026183372,-0.22989085,-0.32505915,-0.80920666,-1.9784237,-0.3023941,2.1697114,-2.4112494,-1.3161922,1.6684333,-0.46346042,2.2167497,0.4215599,0.6132084,-1.9235564,-0.6408949,0.29408064,-0.32609874,0.9649983,-2.2762902,-0.94607055,-1.8513532,-2.3381393,0.21794304,2.253788,1.2737834,-1.7604997,0.8080556,-0.44119066,-0.31384736,0.15637155,-2.5116012,-0.33459404,OVCAR-4
0.6014869,3.3187926,-0.93863845,-0.7271696,-0.30696568,-1.4695175,0.14153731,1.0882696,-0.79560393,0.9875023,0.65838736,1.8578844,1.4755988,-1.0141283,0.40072578,0.07615151,1.3726624,-0.48619533,-0.03438992,0.2442126,-1.8823044,0.43568194,0.9417095,0.1612574,1.8689767,-0.20736232,1.1817061,-2.6652856,-1.9374619,-0.4047293,-1.0277551,-2.3477588,0.77794206,0.5690679,0.6383313,-0.3394179,1.7895269,-0.27225193,-0.5308825,-2.3482583,-2.4034855,1.1807852,-0.55905014,0.008760272,0.41203967,-0.12956327,-3.1853266,0.20188516,2.188715,-0.6966549,-1.3772069,-0.19946869,2.1144018,2.296701,-1.2249466,-0.8541895,0.9188828,1.8683313,0.6381205,-0.34815165,-0.23169087,0.3506598,0.11172956,1.0013169,1.6096046,-3.5076065,-1.8167466,-0.37768054,-1.9631985,1.6212922,1.7099564,-0.055143494,-2.3132365,1.0750487,-1.526201,-2.313154,-3.1464589,-0.13498634,0.13246366,0.08002987,-1.0574418,1.1768587,-0.42462116,-0.79352355,1.4445896,2.7232523,-2.705175,1.3479562,3.8000088,-0.36169443,-0.31039706,-0.10571103,-1.3759303,0.85522956,0.2819743,-0.2851621,0.523881,-3.72823,0.099724576,0.6012539,0.79938877,0.04471915,0.94491786,0.34178472,0.2656936,1.4123261,-1.1419158,0.083065875,-1.004118,-1.6396528,-1.889323,-2.6944497,HCT-15
-0.16036661,1.9055549,3.2078185,-0.35663486,0.10452543,0.13294493,-1.594956,-2.6341484,-0.33826318,-0.9646549,0.51257116,-2.9823864,2.0572546,0.9191208,2.7960496,-1.2410249,0.56437546,1.1909384,0.5728646,-4.026079,-3.3652365,-0.23034477,0.7750661,-1.0629009,2.0846245,1.604602,0.3665892,-0.26632833,-0.8497642,-1.0947477,0.02746419,0.5478493,1.2983845,1.7787353,1.9077257,-0.29955286,0.9000885,1.655515,1.2166843,1.8133373,-0.003839425,0.7222534,-3.5206847,-2.9993286,-0.08374668,-0.76163363,0.707595,1.7226139,-0.47818515,-0.46312952,-1.8818215,1.4970875,2.2023492,-0.4944703,2.4836502,-0.33786553,0.50809973,-0.73365444,-0.48763755,-0.3298291,1.8638409,0.33353758,-0.7492165,0.2879221,-2.0818744,0.7308509,-0.1856491,-1.796235,-2.1102457,3.064298,-0.28451216,-1.2594758,1.2311715,0.96998495,-1.4367089,-1.2145396,0.55774325,1.9651284,-0.75881046,0.0899913,-1.5624775,-1.5917686,1.4300399,-1.0553222,-0.72162867,0.82596964,-2.7382667,1.2960018,-0.9918947,-1.2788005,-0.25017405,-0.52492833,-0.41275528,0.797018,-0.51347685,0.22617397,0.7629904,1.5590496,1.497208,-0.2589087,-0.09575587,0.007811726,-1.2160863,0.8112462,-1.2928871,1.8295466,0.2974789,0.55317163,1.2670214,-0.5756735,-1.5175351,0.45106232,SF-295
0.57424945,1.8410696,-1.2011181,-1.5974821,0.13315788,0.012790771,1.1620057,0.6517987,0.2832335,-0.49972996,-2.4151497,-0.652901,2.1972117,1.0255618,-0.069580294,-1.7152394,-1.2191488,1.6011219,0.44389582,-1.0699509,-2.6633024,-0.74107003,-1.1468347,0.42035604,2.9142854,-0.4298281,0.53781104,-2.4450889,1.3669614,0.77643067,0.8175613,-1.1727147,-0.5344208,-1.4278684,-0.1088559,-0.39097354,2.0957606,2.1354554,1.4601948,0.19820724,-1.5310324,2.5860472,-1.4538122,-0.41144028,-0.38439038,0.046867065,-0.0035650702,-0.36329708,1.0722361,0.8902603,-0.916828,1.9755898,1.3685154,3.2669604,0.76445967,-0.027357616,0.27660987,1.1769264,2.6011052,-0.76797307,1.1855382,1.9389378,0.3757465,2.5966618,-0.68558186,-1.8662382,-0.4375048,0.19549136,-2.32486,2.6213794,-0.64105374,-2.9552336,0.45732278,1.8406881,-0.07555716,-0.31169432,0.27351573,-0.2142992,1.6835264,0.72096676,-1.1396071,-0.5432336,0.9289992,-1.6963929,0.39624336,2.190809,-1.6537764,3.5739546,0.6393973,-0.26719862,-3.168904,1.4806892,-0.06299297,1.735587,0.0476764,-2.0265005,1.1234356,1.5530715,0.44401726,-0.09917606,0.9581425,1.4305369,1.7922744,1.0880123,-2.6808047,1.1841266,0.9535061,-1.2521116,-1.0290738,1.1582733,0.5113527,-3.4692242,NCI-H460
-0.08311345,2.0650976,1.0675948,1.6300802,0.6185454,0.3039823,-0.02322521,-0.8840385,-0.99288374,-2.6521492,1.5612645,-0.46133846,-0.1108444,1.2847878,1.1507441,-0.15575296,-1.3023193,2.0954318,-1.9031032,-0.39181495,0.32327884,2.3132582,0.8048952,-0.22333276,1.6167748,0.03383531,0.21285985,-1.4513164,0.2978749,3.2653172,0.6397731,-0.5858134,2.21293,0.37497965,1.4537873,0.66983604,-1.0911977,0.7388262,0.20100048,-0.61483437,0.42594048,0.18457456,-1.6837835,0.083040796,-0.551157,1.675869,0.7280949,-0.8780556,-1.1628045,-2.9531877,0.14330223,-0.14219181,1.7497354,1.7235109,1.4827193,-0.6495369,-0.47355092,-1.0872275,-1.17878,0.070160076,-0.6395133,-1.8296361,-2.2408392,-0.78998137,-2.1252942,-1.4510984,1.2997818,0.15285029,1.1423359,1.2356855,-1.0623407,2.2509127,0.82177883,1.9066856,-3.5575325,-2.0495002,1.3041819,0.6331806,-1.2460688,0.17444566,1.1490645,0.43940318,-0.377565,1.0573243,-1.3745979,-1.9417028,-0.7373399,-1.6217276,1.529881,-0.70334774,1.0084873,-0.97650385,0.3692646,1.8955305,0.892248,-1.2048634,2.4909427,0.7177695,-0.46943706,0.5515302,0.70823133,0.11119312,0.029271156,-0.66187125,0.09852289,1.2908808,2.5132525,-0.046238013,0.33669984,-1.9382195,2.0043094,-0.2549938,SK-OV-3
-0.65963346,1.168594,0.70446694,-0.9288383,3.0031738,-3.6681917,0.8654801,1.2241274,-1.2798592,-0.6132904,-0.26353037,-0.82326955,-1.3353274,0.8991037,0.6467266,1.6858864,-0.24391209,1.0025855,-0.8878245,-1.3705957,0.3528684,0.5258407,-3.4806757,0.9935163,-1.0421904,0.4305201,-2.0956428,1.5875374,1.0737051,0.60648596,0.78272676,0.5427767,0.76112527,1.0793153,-1.3628926,0.048251208,2.0507765,-1.5159957,-0.5704474,2.1727774,-0.76414216,1.9293262,0.5638554,0.19128795,-1.6382848,0.013411307,0.9337029,1.2146502,0.30137023,2.562734,0.15588042,-1.2120669,-2.142228,3.108531,0.542668,-0.46554378,0.52577823,-0.3865806,-0.14567764,-0.26411095,3.5209937,2.4792454,-0.96791613,1.1517909,2.605227,-1.1031964,-0.020984564,1.5116125,0.35974076,-1.0861796,-0.38851342,-1.505506,-0.5396731,1.6688049,3.19595,0.94453204,0.68080646,-0.38034484,1.0741647,0.8457351,-0.4645731,-0.5410025,1.3169032,1.0123144,0.12635633,-0.43547687,0.38821343,0.6006996,-1.0843985,0.52180237,-3.3622713,-0.5639065,1.7620268,-2.4363868,0.07333002,-1.5487854,-0.61726964,0.4899771,-2.1180983,1.9780595,0.9085038,-0.15550335,1.5516533,1.8032836,-0.5807986,-1.147285,1.32016,1.1864824,0.8999207,-0.9254332,1.0738125,-1.7078645,A498
-1.5963591,1.4681959,1.6851467,0.8488533,-2.5754325,2.6496065,-1.0135474,0.037403602,0.89824647,-0.8751793,-0.3005193,-4.093447,-0.08475295,-0.20300071,-0.9169064,-0.38088235,-0.029477742,-1.3027023,-1.2504131,-0.11305169,-2.4397955,1.5596521,-1.3144503,-1.3253157,-1.3495957,-1.4606432,-0.03570885,1.1138817,-0.609654,-1.1645818,0.37588486,0.40690947,-0.5343645,1.5863303,0.016993579,1.3047118,-0.5121274,0.40957224,-0.4988664,0.7112152,2.4470205,-0.21913521,-0.55881035,0.63960975,-1.0618618,-0.7273172,-0.40976688,-1.1819688,-0.45729932,-0.34616435,-1.8165883,-0.447159,-0.42273405,-0.69271046,0.08124528,1.9845384,0.08020937,0.46464267,-0.28652683,1.7436786,0.19698805,-0.83652484,0.40383247,-0.7297704,1.127636,0.7789224,0.11010917,2.4656007,0.67995286,-0.33574677,0.6841561,-0.71746933,0.26556075,0.15732688,0.22131842,1.1507742,0.87173593,-0.3629984,-0.12622388,-0.13826008,1.4081981,1.9773248,-1.1255298,2.7871404,-1.3335457,-1.942182,-0.23532729,-0.00916688,-2.188884,1.0267407,3.55437,-0.5014169,0.15164715,-0.8316104,-0.26561728,2.2504902,-1.826041,2.1958811,2.4397683,-2.341326,-1.3354571,1.1585593,3.1789534,0.2866757,-1.8494607,-0.30848256,-1.4642853,1.1119543,-1.1046933,-0.36656785,1.0259225,0.24546006,HS 578T
1.4651552,1.6240406,-2.445723,1.289464,1.0058794,-0.18132424,0.0091814585,0.5218642,1.1227973,-2.7635536,0.33345163,-1.777559,1.3729284,0.5965296,1.2873722,0.211216,0.056372784,0.19679117,0.9456705,-0.8309392,-1.928447,-0.8042703,-0.41535303,0.8345072,1.7601568,-0.5730367,-1.7726244,-1.1775081,0.19736655,0.07476143,-0.55983,0.9412338,0.1450154,-0.35739377,-1.4878883,0.27988356,1.4323844,1.5229927,-2.2894952,0.14421335,0.8762519,-0.8548168,-0.031214707,-0.46118328,-2.0527093,-1.9356799,2.213044,0.316619,-0.31042582,0.32240975,-0.60365415,0.113196515,-0.583556,2.0955694,-0.8597229,0.020432867,-0.23853797,0.32842502,-0.30928093,0.8832457,-0.90082514,-0.12534633,-0.42401576,0.6412712,-0.1478926,-0.67178917,-1.3376111,3.1594071,2.3747678,1.6286633,1.4046232,0.5843341,0.48397678,3.418547,1.8532932,0.011775773,0.44375542,1.0845388,-0.98798484,-1.5856781,0.5129022,0.07880043,0.18909906,0.6030293,-2.3681872,1.757645,0.58978397,-0.19956785,1.3266455,-0.110929094,-1.7323402,-0.6367428,0.20059173,0.03623203,0.509359,-0.3574389,-0.6438169,0.5956419,1.4378293,-0.8120182,-1.0293369,0.9783787,0.43511003,0.9190241,-1.3777194,0.79252154,-0.83750963,0.26261523,-1.5799865,-1.9972448,1.3324622,-2.6329057,MDA-MB-435
-1.9103833,0.38868463,1.1408862,-0.5623754,-1.6511158,1.1046971,0.41872123,0.12094882,-0.0085218875,1.8235565,0.48487943,0.6652152,0.6082086,-0.48717174,-0.6102663,-0.55541676,2.31165,-4.3206663,0.9503472,0.93661034,2.0034962,0.46887773,-0.0937738,-0.1527767,-0.17355612,-0.63115776,2.3092337,1.8540224,1.7993089,-1.14424,-1.1113328,0.15997612,-0.88109106,0.09772644,-0.075326316,-1.4844114,0.502604,0.7772754,-0.17855045,-1.3501242,1.3349719,0.37513494,1.492243,-1.2991259,1.6869358,-1.0928565,-0.99450254,1.0914936,-1.5599166,-2.0963213,-2.9366906,1.0483013,1.6218895,-2.4857821,-0.16581735,-1.9475241,1.1444784,-1.2977637,-0.053490687,-0.0825904,1.169154,-2.0099251,1.6831919,-3.487372,0.68736875,-1.0976149,-0.5622052,0.16568987,0.123941265,1.528262,-0.27908367,0.060578648,0.048298866,-2.2858386,-2.3768427,0.47213858,0.16621475,0.24423316,-0.5498311,0.25262845,-0.39025503,0.41031006,-0.54730636,0.15838563,2.325295,-0.37689802,0.18242878,0.70753264,0.61060935,-0.11549601,2.154474,-0.8353652,-1.7182026,-0.39681584,-2.218986,-1.1202513,-1.056508,-0.32492143,0.44486094,-1.5698408,1.4284886,-0.81263703,1.2461365,-2.5274892,0.38499245,-1.9190791,-0.05509833,0.01562968,-0.2371731,1.0728872,-1.6880028,1.7316235,OVCAR-8
